"","houseid","cityid","adrnum","street","state","zip","bathnum","bednum","outview","numlvl","yrbuilt","landsz","condtn","housesz","closedt","sellprice","origprice","longitude","latitude"
"101",101,65,"95-1001","Meanui","HI",96789,2,3,"Garden",1,1991,6508,5,1412,2013-09-04,745000,749000,-157.997774,21.468374
"102",102,65,"95-1017","Kahualea","HI",96789,2,3,"None",1,1993,5100,5,1630,2014-07-21,750000,740000,-157.992097,21.470127
"103",103,65,"95-1030","Meakino","HI",96789,3,3,"Mountain",2,2005,5616,5,1522,2013-09-18,755000,749000,-158.006587,21.475338
"104",104,65,"95-1085","Kihene","HI",96789,3,4,"Mountain",2,2002,5001,5,1845,2013-06-06,759000,799000,-157.983924,21.475511
"105",105,65,"95-1118","Auina","HI",96789,3,4,"Garden",2,1995,7564,4,2006,2014-01-28,759000,749000,-157.995912,21.47881
"106",106,65,"95-1039","Meapa","HI",96789,3,3,"Mountain",2,2005,4160,5,1808,2013-06-03,760000,749000,-158.005909,21.474628
"107",107,65,"95-1004","Ailona","HI",96789,2,3,"None",1,1993,9395,5,1412,2014-01-24,760000,750000,-157.994152,21.472618
"108",108,65,"95-204","Moohele","HI",96789,3,4,"Mountain,Sunrise",2,2006,4160,5,2064,2013-07-03,765000,760000,-158.010518,21.474219
"109",109,65,"95-1007","Meakino","HI",96789,3,3,"Mountain,Sunrise,Sunset",2,2005,5124,5,1808,2013-07-30,765000,765000,-158.007327,21.475946
"110",110,65,"95-1011","Kowa","HI",96789,3,3,"None",2,1993,5400,5,1854,2014-05-02,765000,759000,-157.993927,21.4727849
"111",111,65,"95-1069","Pikokea","HI",96789,3,4,"Garden",2,2003,4348,4,1765,2014-05-23,770000,765000,-157.9843909,21.476366
"112",112,65,"95-215","Kuauna","HI",96789,3,3,"Mountain,Sunset",2,1997,5200,5,2023,2013-07-31,775000,775000,-158.004171,21.478125
"113",113,65,"95-1004","Ahikao","HI",96789,3,3,"Mountain",2,1991,7464,4,2330,2013-11-08,775000,835900,-157.99997,21.46608
"114",114,65,"95-1056","Kahualea","HI",96789,3,4,"Mountain",2,1993,5772,5,2043,2013-07-19,778000,778000,-157.9906767,21.4691857
"115",115,65,"95-214","Malielie","HI",96789,3,3,"None",2,1993,6209,5,2220,2013-09-17,779000,799000,-157.9920884,21.4690432
"116",116,65,"95-1007","Haakualiki","HI",96789,3,3,"None",2,1997,5190,5,1921,2014-01-31,779000,779000,-158.003612,21.47861
"117",117,65,"95-1039","Hookowa","HI",96789,3,4,"None",2,1997,5201,4,2023,2013-08-02,780000,788000,-158.004135,21.477042
"118",118,65,"95-1240","Ahoka","HI",96789,3,3,"Mountain",2,2003,5045,5,1845,2014-03-28,780000,768000,-157.979763,21.483083
"119",119,65,"95-1052","Mahea","HI",96789,3,3,"None",2,2005,4933,5,2130,2014-06-27,782000,829000,-157.979758,21.480872
"120",120,65,"95-1065","Melekomo","HI",96789,3,3,"Garden,Mountain,Sunrise",2,2006,5664,5,1808,2014-10-23,785000,825000,-158.0120232,21.47384
"121",121,65,"95-1026","Kamalino","HI",96789,3,4,"Garden",2,1999,5100,5,2634,2013-08-14,786000,829900,-157.9989625,21.480228
"122",122,65,"95-228","KUAUNA","HI",96789,3,3,"Mountain",2,1997,6937,5,2023,2014-08-14,786000,780000,-158.0034049,21.477974
"123",123,65,"95-1140","Kihene","HI",96789,3,4,"Mountain,Ocean",2,2002,5654,5,1953,2013-07-01,787500,799000,-157.98343,21.477668
"124",124,65,"95-1033","Kowa","HI",96789,3,4,"None",2,1993,5079,4,2314,2014-08-28,788000,799000,-157.993196,21.472296
